,response,left_contrast,right_contrast,correct
316,0.0,0.0,0.0,True
317,-1.0,0.0,0.0,False
318,0.0,0.0,0.0,True
319,-1.0,0.25,1.0,True
320,-1.0,0.25,0.5,True
321,1.0,1.0,0.0,True
322,0.0,0.5,0.0,False
323,0.0,1.0,0.0,False
324,0.0,1.0,0.0,False
325,-1.0,1.0,0.0,False
326,1.0,1.0,0.0,True
327,0.0,0.0,0.0,True
328,-1.0,0.0,0.0,False
329,0.0,0.0,0.0,True
330,0.0,0.0,0.0,True
331,0.0,0.25,0.0,False
332,0.0,0.0,0.0,True
333,-1.0,0.0,0.0,False
334,0.0,0.0,0.0,True
335,0.0,0.25,1.0,False
336,-1.0,0.25,1.0,True
337,0.0,0.25,0.0,False
338,0.0,1.0,0.25,False
339,-1.0,1.0,0.25,False
340,0.0,1.0,0.25,False
341,0.0,1.0,0.25,False
342,0.0,1.0,0.25,False
